         2000     0.01000           2     4.00000
            0     1.20000     1.20000     1.20000
     0.3900       0.00000    -40.54168    -74.10307   -141.57494
     0.4000       0.00000    -40.99577    -74.04948   -140.49373
     0.4100       0.00000    -41.47951    -73.99567   -139.36222
     0.4200       0.00000    -41.99295    -73.94145   -138.18083
     0.4300       0.00000    -42.53599    -73.88657   -136.95018
     0.4400       0.00000    -43.10839    -73.83080   -135.67108
     0.4500       0.00000    -43.70975    -73.77383   -134.34452
     0.4600       0.00000    -44.33950    -73.71538   -132.97170
     0.4700       0.00000    -44.99690    -73.65511   -131.55400
     0.4800       0.00000    -45.68103    -73.59266   -130.09296
     0.4900       0.00000    -46.39081    -73.52765   -128.59032
     0.5000       0.00000    -47.12495    -73.45968   -127.04798
     0.5100       0.00000    -47.88200    -73.38833   -125.46801
     0.5200       0.00000    -48.66031    -73.31316   -123.85262
     0.5300       0.00000    -49.45806    -73.23371   -122.20418
     0.5400       0.00000    -50.27324    -73.14950   -120.52517
     0.5500       0.00000    -51.10365    -73.06004   -118.81822
     0.5600       0.00000    -51.94693    -72.96482   -117.08606
     0.5700       0.00000    -52.80054    -72.86334   -115.33151
     0.5800       0.00000    -53.66179    -72.75507   -113.55749
     0.5900       0.00000    -54.52783    -72.63949   -111.76700
     0.6000       0.00000    -55.39567    -72.51607   -109.96307
     0.6100       0.00000    -56.26218    -72.38427   -108.14881
     0.6200       0.00000    -57.12414    -72.24358   -106.32735
     0.6300       0.00000    -57.97821    -72.09346   -104.50184
     0.6400       0.00000    -58.82097    -71.93341   -102.67545
     0.6500       0.00000    -59.64894    -71.76292   -100.85133
     0.6600       0.00000    -60.45861    -71.58151    -99.03262
     0.6700       0.00000    -61.24642    -71.38871    -97.22241
     0.6800       0.00000    -62.00884    -71.18407    -95.42377
     0.6900       0.00000    -62.74234    -70.96717    -93.63971
     0.7000       0.00000    -63.44346    -70.73762    -91.87315
     0.7100       0.00000    -64.10880    -70.49504    -90.12697
     0.7200       0.00000    -64.73506    -70.23912    -88.40392
     0.7300       0.00000    -65.31909    -69.96956    -86.70669
     0.7400       0.00000    -65.85787    -69.68609    -85.03782
     0.7500       0.00000    -66.34855    -69.38853    -83.39977
     0.7600       0.00000    -66.78852    -69.07670    -81.79486
