 # energy[eV], Re[alpha](x,y,z), Im[alpha](x,y,z), S(x,y,z)
  0.00000E+00  0.87062776E-04 -0.10307068E-02  0.35108921E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10000E-01  0.87062730E-04 -0.10307063E-02  0.35108909E+01  0.83175891E-07 -0.98469659E-06  0.25507821E-02  0.48257692E-11 -0.57130960E-10  0.14799343E-06
  0.20000E-01  0.87062592E-04 -0.10307046E-02  0.35108874E+01  0.16635167E-06 -0.19693919E-05  0.51015617E-02  0.19303064E-10 -0.22852369E-09  0.59197344E-06
  0.30000E-01  0.87062363E-04 -0.10307020E-02  0.35108816E+01  0.24952723E-06 -0.29540846E-05  0.76523364E-02  0.43431845E-10 -0.51417773E-09  0.13319392E-05
  0.40000E-01  0.87062041E-04 -0.10306982E-02  0.35108734E+01  0.33270245E-06 -0.39387734E-05  0.10203104E-01  0.77212048E-10 -0.91409234E-09  0.23678892E-05
  0.50000E-01  0.87061628E-04 -0.10306933E-02  0.35108630E+01  0.41587722E-06 -0.49234570E-05  0.12753861E-01  0.12064358E-09 -0.14282665E-08  0.36998216E-05
  0.60000E-01  0.87061123E-04 -0.10306874E-02  0.35108502E+01  0.49905144E-06 -0.59081341E-05  0.15304607E-01  0.17372633E-09 -0.20566987E-08  0.53277337E-05
  0.70000E-01  0.87060526E-04 -0.10306804E-02  0.35108351E+01  0.58222498E-06 -0.68928034E-05  0.17855337E-01  0.23646015E-09 -0.27993875E-08  0.72516225E-05
  0.80000E-01  0.87059838E-04 -0.10306723E-02  0.35108176E+01  0.66539774E-06 -0.78774637E-05  0.20406051E-01  0.30884487E-09 -0.36563308E-08  0.94714842E-05
  0.90000E-01  0.87059057E-04 -0.10306631E-02  0.35107978E+01  0.74856961E-06 -0.88621136E-05  0.22956745E-01  0.39088030E-09 -0.46275264E-08  0.11987315E-04
  0.10000E+00  0.87058185E-04 -0.10306529E-02  0.35107757E+01  0.83174047E-06 -0.98467518E-05  0.25507417E-01  0.48256622E-09 -0.57129717E-08  0.14799109E-04
  0.11000E+00  0.87057220E-04 -0.10306416E-02  0.35107513E+01  0.91491022E-06 -0.10831377E-04  0.28058064E-01  0.58390239E-09 -0.69126639E-08  0.17906862E-04
  0.12000E+00  0.87056164E-04 -0.10306292E-02  0.35107245E+01  0.99807873E-06 -0.11815988E-04  0.30608685E-01  0.69488852E-09 -0.82265998E-08  0.21310567E-04
  0.13000E+00  0.87055017E-04 -0.10306157E-02  0.35106954E+01  0.10812459E-05 -0.12800583E-04  0.33159276E-01  0.81552432E-09 -0.96547759E-08  0.25010218E-04
  0.14000E+00  0.87053777E-04 -0.10306012E-02  0.35106640E+01  0.11644116E-05 -0.13785162E-04  0.35709835E-01  0.94580947E-09 -0.11197189E-07  0.29005808E-04
  0.15000E+00  0.87052445E-04 -0.10305855E-02  0.35106303E+01  0.12475758E-05 -0.14769722E-04  0.38260360E-01  0.10857436E-08 -0.12853834E-07  0.33297329E-04
  0.16000E+00  0.87051022E-04 -0.10305688E-02  0.35105942E+01  0.13307383E-05 -0.15754263E-04  0.40810849E-01  0.12353264E-08 -0.14624707E-07  0.37884773E-04
  0.17000E+00  0.87049507E-04 -0.10305510E-02  0.35105558E+01  0.14138990E-05 -0.16738783E-04  0.43361298E-01  0.13945574E-08 -0.16509803E-07  0.42768132E-04
  0.18000E+00  0.87047900E-04 -0.10305322E-02  0.35105151E+01  0.14970578E-05 -0.17723281E-04  0.45911705E-01  0.15634361E-08 -0.18509118E-07  0.47947395E-04
  0.19000E+00  0.87046201E-04 -0.10305122E-02  0.35104720E+01  0.15802145E-05 -0.18707756E-04  0.48462069E-01  0.17419623E-08 -0.20622646E-07  0.53422553E-04
  0.20000E+00  0.87044411E-04 -0.10304912E-02  0.35104267E+01  0.16633692E-05 -0.19692206E-04  0.51012386E-01  0.19301352E-08 -0.22850381E-07  0.59193595E-04
  0.21000E+00  0.87042528E-04 -0.10304691E-02  0.35103790E+01  0.17465216E-05 -0.20676630E-04  0.53562654E-01  0.21279546E-08 -0.25192319E-07  0.65260511E-04
  0.22000E+00  0.87040554E-04 -0.10304459E-02  0.35103289E+01  0.18296717E-05 -0.21661027E-04  0.56112870E-01  0.23354197E-08 -0.27648451E-07  0.71623288E-04
  0.23000E+00  0.87038488E-04 -0.10304217E-02  0.35102766E+01  0.19128193E-05 -0.22645395E-04  0.58663033E-01  0.25525301E-08 -0.30218773E-07  0.78281914E-04
  0.24000E+00  0.87036331E-04 -0.10303963E-02  0.35102219E+01  0.19959644E-05 -0.23629734E-04  0.61213140E-01  0.27792852E-08 -0.32903277E-07  0.85236377E-04
  0.25000E+00  0.87034081E-04 -0.10303699E-02  0.35101649E+01  0.20791067E-05 -0.24614041E-04  0.63763187E-01  0.30156844E-08 -0.35701956E-07  0.92486664E-04
  0.26000E+00  0.87031740E-04 -0.10303424E-02  0.35101056E+01  0.21622463E-05 -0.25598316E-04  0.66313174E-01  0.32617270E-08 -0.38614804E-07  0.10003276E-03
  0.27000E+00  0.87029307E-04 -0.10303139E-02  0.35100439E+01  0.22453830E-05 -0.26582557E-04  0.68863097E-01  0.35174123E-08 -0.41641811E-07  0.10787465E-03
  0.28000E+00  0.87026782E-04 -0.10302842E-02  0.35099799E+01  0.23285167E-05 -0.27566763E-04  0.71412954E-01  0.37827398E-08 -0.44782970E-07  0.11601232E-03
