 # time[fs],    dipoleMoment(x,y,z)[A?]
  0.00000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13164E-02  0.36259988E-09 -0.10583556E-08  0.14031117E-02
  0.26329E-02  0.25015551E-08 -0.14648517E-07  0.27969410E-02
  0.39493E-02  0.78547410E-08 -0.50400355E-07  0.41735322E-02
  0.52658E-02  0.16206891E-07 -0.10742793E-06  0.55270305E-02
  0.65822E-02  0.26522916E-07 -0.18520063E-06  0.68533970E-02
  0.78986E-02  0.37910910E-07 -0.28282215E-06  0.81500968E-02
  0.92151E-02  0.50120602E-07 -0.39877155E-06  0.94158043E-02
  0.10532E-01  0.63262302E-07 -0.53134300E-06  0.10649944E-01
  0.11848E-01  0.77268157E-07 -0.67924787E-06  0.11852179E-01
  0.13164E-01  0.91641643E-07 -0.84186099E-06  0.13022100E-01
  0.14481E-01  0.10591543E-06 -0.10188025E-05  0.14159162E-01
  0.15797E-01  0.12024995E-06 -0.12094423E-05  0.15262754E-01
  0.17114E-01  0.13533345E-06 -0.14130319E-05  0.16332256E-01
  0.18430E-01  0.15173889E-06 -0.16292071E-05  0.17367046E-01
  0.19747E-01  0.16952682E-06 -0.18581338E-05  0.18366474E-01
  0.21063E-01  0.18849810E-06 -0.21000599E-05  0.19329848E-01
  0.22379E-01  0.20871218E-06 -0.23547579E-05  0.20256443E-01
  0.23696E-01  0.23057112E-06 -0.26214782E-05  0.21145544E-01
  0.25012E-01  0.25434214E-06 -0.28993809E-05  0.21996525E-01
  0.26329E-01  0.27972971E-06 -0.31878137E-05  0.22808940E-01
  0.27645E-01  0.30603319E-06 -0.34860615E-05  0.23582599E-01
  0.28962E-01  0.33268368E-06 -0.37929187E-05  0.24317589E-01
  0.30278E-01  0.35951201E-06 -0.41066813E-05  0.25014247E-01
  0.31595E-01  0.38647485E-06 -0.44256275E-05  0.25673079E-01
  0.32911E-01  0.41325498E-06 -0.47484552E-05  0.26294668E-01
  0.34227E-01  0.43928691E-06 -0.50742258E-05  0.26879583E-01
  0.35544E-01  0.46419417E-06 -0.54020053E-05  0.27428344E-01
  0.36860E-01  0.48810035E-06 -0.57307520E-05  0.27941421E-01
  0.38177E-01  0.51144569E-06 -0.60596417E-05  0.28419271E-01
  0.39493E-01  0.53455587E-06 -0.63884232E-05  0.28862399E-01
  0.40810E-01  0.55748681E-06 -0.67173440E-05  0.29271397E-01
  0.42126E-01  0.58028592E-06 -0.70467121E-05  0.29646969E-01
  0.43443E-01  0.60327922E-06 -0.73765884E-05  0.29989919E-01
  0.44759E-01  0.62698126E-06 -0.77069003E-05  0.30301110E-01
  0.46075E-01  0.65171757E-06 -0.80377144E-05  0.30581423E-01
  0.47392E-01  0.67740761E-06 -0.83692252E-05  0.30831708E-01
  0.48708E-01  0.70374444E-06 -0.87014099E-05  0.31052770E-01
  0.50025E-01  0.73051927E-06 -0.90337462E-05  0.31245374E-01
  0.51341E-01  0.75769184E-06 -0.93653242E-05  0.31410266E-01
  0.52658E-01  0.78515943E-06 -0.96952056E-05  0.31548197E-01
  0.53974E-01  0.81256215E-06 -0.10022613E-04  0.31659943E-01
  0.55290E-01  0.83940239E-06 -0.10346791E-04  0.31746304E-01
  0.56607E-01  0.86535329E-06 -0.10666811E-04  0.31808090E-01
  0.57923E-01  0.89040278E-06 -0.10981665E-04  0.31846105E-01
  0.59240E-01  0.91469603E-06 -0.11290588E-04  0.31861120E-01
  0.60556E-01  0.93830593E-06 -0.11593275E-04  0.31853863E-01
  0.61873E-01  0.96121977E-06 -0.11889765E-04  0.31825017E-01
  0.63189E-01  0.98353178E-06 -0.12180174E-04  0.31775225E-01
  0.64506E-01  0.10055675E-05 -0.12464595E-04  0.31705109E-01
  0.65822E-01  0.10277599E-05 -0.12743250E-04  0.31615270E-01
  0.67138E-01  0.10504083E-05 -0.13016609E-04  0.31506293E-01
  0.68455E-01  0.10735869E-05 -0.13285266E-04  0.31378727E-01
  0.69771E-01  0.10972699E-05 -0.13549653E-04  0.31233076E-01
  0.71088E-01  0.11214826E-05 -0.13809879E-04  0.31069787E-01
  0.72404E-01  0.11462791E-05 -0.14065827E-04  0.30889247E-01
  0.73721E-01  0.11715883E-05 -0.14317337E-04  0.30691791E-01
  0.75037E-01  0.11971378E-05 -0.14564226E-04  0.30477728E-01
  0.76354E-01  0.12225659E-05 -0.14806153E-04  0.30247354E-01
  0.77670E-01  0.12476005E-05 -0.15042533E-04  0.30000974E-01
  0.78986E-01  0.12721157E-05 -0.15272674E-04  0.29738907E-01
  0.80303E-01  0.12960385E-05 -0.15496004E-04  0.29461477E-01
  0.81619E-01  0.13192583E-05 -0.15712186E-04  0.29169000E-01
